guid;categorie;fichier;statut;detail
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0400DMSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747559218.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0401DRWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201747569219.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0402DCWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748379220.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0413DCWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748399221.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0414DRWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748409222.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0416DCWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748419223.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0441DMSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748429224.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0452DLSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748519225.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0460DLSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748529226.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0461DEWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748539227.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0470DNAEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748559228.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0475DSWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748569229.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0476DEWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748579230.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0478DCWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748589231.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0480DEWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748609232.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0484DRWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748619233.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0490DEWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748629234.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0490DLSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748629234.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0490DOSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748629234.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0511DNAEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748639235.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0514DNAEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201748649236.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0515DMSEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201749389237.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0520DEWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201749399238.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0523DSWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201749409239.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0531DRWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201749429240.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0540DCWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201749439241.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
29e3a1f1f9114102a4583ed0eaac2512;DK_FIN01_cible;DK_FIN01_30003-0551DRWEXP-20260923-49108276_20260923-013050.txt;OK;
29e3a1f1f9114102a4583ed0eaac2512;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17901201749449242.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
