guid;fichier_source;nb_dk;nb_dk_fin01;nb_oracle_source;montant_dk_entete;montant_dk;montant_dk_fin01;montant_oracle_source;euro_lines;statut_lignes;statut_montant
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0348DCWEXP-20260731-48639843_20260731-010354.txt;10;10;10;10201032;10201032;10201032;10201032;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0350DNAEXP-20260731-48639843_20260731-010354.txt;1;1;1;93557;93557;93557;93557;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0364DSWEXP-20260731-48639843_20260731-010354.txt;1;1;1;176131;176131;176131;176131;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0367DMSEXP-20260731-48639843_20260731-010354.txt;1;1;1;130682;130682;130682;130682;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0367DOSEXP-20260731-48639843_20260731-010354.txt;4;4;4;1992337;1992337;1992337;1992337;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0401DRWEXP-20260731-48639843_20260731-010354.txt;1;1;1;31304;31304;31304;31304;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0413DCWEXP-20260731-48639843_20260731-010354.txt;1;1;1;12614;12614;12614;12614;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0416DCWEXP-20260731-48639843_20260731-010354.txt;1;1;1;27000;27000;27000;27000;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0441DMSEXP-20260731-48639843_20260731-010354.txt;3;3;3;202137;202137;202137;202137;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0452DLSEXP-20260731-48639843_20260731-010354.txt;4;4;4;3672954;3672954;3672954;3672954;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0460DLSEXP-20260731-48639843_20260731-010354.txt;2;2;2;61227;61227;61227;61227;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0470DNAEXP-20260731-48639843_20260731-010354.txt;1;1;1;180000;180000;180000;180000;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0476DEWEXP-20260731-48639843_20260731-010354.txt;3;3;3;1967296;1967296;1967296;1967296;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0514DNAEXP-20260731-48639843_20260731-010354.txt;2;2;2;13157;13157;13157;13157;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0523DSWEXP-20260731-48639843_20260731-010354.txt;1;1;1;600000;600000;600000;600000;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0540DCWEXP-20260731-48639843_20260731-010354.txt;1;1;1;609112;609112;609112;609112;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0551DRWEXP-20260731-48639843_20260731-010354.txt;2;2;2;276954;276954;276954;276954;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0553DSWEXP-20260731-48639843_20260731-010354.txt;1;1;1;511779;511779;511779;511779;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0658DOSEXP-20260731-48639843_20260731-010354.txt;1;1;1;65000;65000;65000;65000;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0691DEWEXP-20260731-48639843_20260731-010354.txt;1;1;1;47160;47160;47160;47160;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0693DCWEXP-20260731-48639843_20260731-010354.txt;2;2;2;117263;117263;117263;117263;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0739DOSEXP-20260731-48639843_20260731-010354.txt;1;1;1;733505;733505;733505;733505;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0804DOSEXP-20260731-48639843_20260731-010354.txt;1;1;1;119148;119148;119148;119148;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30003-0930DEWEXP-20260731-48639843_20260731-010354.txt;3;3;3;1165790;1165790;1165790;1165790;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30004-0119DOSEXP-20260731-48639843_20260731-010354.txt;15;15;15;11175799;11175799;11175799;11175799;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30004-0284DEWEXP-20260731-48639843_20260731-010354.txt;1;1;1;10502;10502;10502;10502;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30004-0359DLSEXP-20260731-48639843_20260731-010354.txt;1;1;1;2011627;2011627;2011627;2011627;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30004-0363DMSEXP-20260731-48639843_20260731-010354.txt;1;1;1;70000;70000;70000;70000;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30004-0373DSWEXP-20260731-48639843_20260731-010354.txt;2;2;2;50680;50680;50680;50680;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30004-0420DLSEXP-20260731-48639843_20260731-010354.txt;1;1;1;162000;162000;162000;162000;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30004-0630DCWEXP-20260731-48639843_20260731-010354.txt;3;3;3;7106055;7106055;7106055;7106055;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30004-0631DRWEXP-20260731-48639843_20260731-010354.txt;1;1;1;42679;42679;42679;42679;1;OK;OK
31a208ebd9cb4712910957b023c4eab0;DK_FIN01_30004-0800DEWEXP-20260731-48639843_20260731-010354.txt;8;8;8;2195210;2195210;2195210;2195210;1;OK;OK
