445715;;C;28829.00;+
411100;0566540R;D;154139.00;+
706601;;C;63584.00;+
706601;;C;76543.00;+
445715;;C;6358.00;+
445715;;C;7654.00;+
411100;0251662J;D;46512.00;+
706601;;C;19490.00;+
706601;;C;22794.00;+
445715;;C;1949.00;+
445715;;C;2279.00;+
411100;0551970B;D;37074.00;+
706601;;C;33704.00;+
445715;;C;3370.00;+
411100;0551970B;D;3663.00;+
706601;;C;3330.00;+
445715;;C;333.00;+
411100;0272140D;D;52612.00;+
706001;;C;20228.00;+
706001;;C;23615.00;+
445710;;C;8769.00;+
411150;0065898H;D;93867.00;+
707000;;C;78222.00;+
445710;;C;15645.00;+
411100;0030270D;D;348617.00;+
706601;;C;4907.00;+
706601;;C;286016.00;+
445715;;C;491.00;+
445715;;C;57203.00;+
411100;0232426Z;D;78434.00;+
706601;;C;71304.00;+
445715;;C;7130.00;+
411100;0577711Q;D;67165.00;+
706601;;C;55971.00;+
445715;;C;11194.00;+
411150;0065898H;D;55250.00;+
707000;;C;46042.00;+
445710;;C;9208.00;+
411150;0467774N;D;83248.00;+
707000;;C;69373.00;+
445710;;C;13875.00;+
411150;0467774N;D;81007.00;+
707000;;C;67506.00;+
445710;;C;13501.00;+
411150;0065898H;D;137334.00;+
707000;;C;114445.00;+
445710;;C;22889.00;+
411100;0301630F;D;721459.00;+
706001;;C;601216.00;+
445715;;C;120243.00;+
411100;0233117H;D;83535.00;+
706601;;C;6792.00;+
706601;;C;72099.00;+
445715;;C;679.00;+
445715;;C;3965.00;+
411100;0578937H;D;110604.00;+
706601;;C;92170.00;+
445715;;C;18434.00;+
411100;0039250W;D;63165.00;+
706601;;C;57423.00;+
445715;;C;5742.00;+
411100;0159206F;D;558925.00;+
706601;;C;47139.00;+
706601;;C;52669.00;+
706601;;C;188556.00;+
706601;;C;210675.00;+
445715;;C;9428.00;+
445715;;C;10534.00;+
445715;;C;18856.00;+
445715;;C;21068.00;+
411100;0579983I;D;152443.00;+
706601;;C;127036.00;+
445715;;C;25407.00;+
411150;0065898H;D;65100.00;+
707000;;C;54250.00;+
445710;;C;10850.00;+
411150;0568916S;D;71535.00;+
707000;;C;59612.00;+
445710;;C;11923.00;+
411100;0414565E;D;344787.00;+
706001;;C;3625.00;+
706001;;C;5181.00;+
706001;;C;25767.00;+
706001;;C;252749.00;+
445715;;C;6915.00;+
445710;;C;50550.00;+
411100;0000902L;D;4289618.00;+
706001;;C;140277.00;+
706001;;C;1600107.00;+
706001;;C;1834298.00;+
445710;;C;28055.00;+
445710;;C;320021.00;+
445710;;C;366860.00;+
411100;0000902L;D;3459866.00;+
706001;;C;36299.00;+
706001;;C;110444.00;+
706001;;C;214008.00;+
706001;;C;2522470.00;+
445710;;C;7260.00;+
445710;;C;22089.00;+
445710;;C;42802.00;+
445710;;C;504494.00;+
411100;0579813J;D;103646.00;+
706601;;C;86372.00;+
445715;;C;17274.00;+
411100;0283999H;C;683171.00;+
706001;;D;569309.00;+
445710;;D;113862.00;+
411150;0471474I;D;113222.00;+
707000;;C;94352.00;+
445710;;C;18870.00;+
411150;0471474I;D;50172.00;+
707000;;C;41810.00;+
445710;;C;8362.00;+
411150;0471474I;D;215793.00;+
707000;;C;179828.00;+
445710;;C;35965.00;+
411150;0568916S;D;179250.00;+
707000;;C;149375.00;+
445710;;C;29875.00;+
411150;0568916S;D;130385.00;+
707000;;C;108654.00;+
445710;;C;21731.00;+
411150;0568916S;D;61798.00;+
707000;;C;51498.00;+
445710;;C;10300.00;+
411150;0568916S;D;40227.00;+
707000;;C;33523.00;+
445710;;C;6704.00;+
411150;0568916S;D;210466.00;+
707000;;C;175388.00;+
445710;;C;35078.00;+
411150;0568916S;D;16945.00;+
707000;;C;14121.00;+
445710;;C;2824.00;+
411150;0568916S;D;18270.00;+
707000;;C;15225.00;+
445710;;C;3045.00;+
411150;0467774N;D;37240.00;+
707000;;C;31034.00;+
445710;;C;6206.00;+
411150;0467774N;D;175959.00;+
707000;;C;146633.00;+
445710;;C;29326.00;+
411100;0299612B;D;36190.00;+
706601;;C;32900.00;+
445715;;C;3290.00;+
411100;0299612B;D;229512.00;+
706601;;C;191260.00;+
445715;;C;38252.00;+
411100;0485414C;D;7560.00;+
706601;;C;6300.00;+
445715;;C;1260.00;+
411100;0067918R;D;132538.00;+
706001;;C;10172.00;+
706001;;C;100276.00;+
445710;;C;22090.00;+
411150;0568916S;D;176385.00;+
707000;;C;146988.00;+
445710;;C;29397.00;+
411150;0568916S;D;94279.00;+
707000;;C;78566.00;+
445710;;C;15713.00;+
411150;0467774N;D;136237.00;+
707000;;C;113531.00;+
445710;;C;22706.00;+
411100;0581738P;D;77712.00;+
706601;;C;6741.00;+
706601;;C;66632.00;+
445715;;C;674.00;+
445715;;C;3665.00;+
411100;0066978D;D;116338.00;+
706601;;C;105762.00;+
445715;;C;10576.00;+
411100;0284399J;D;79371.00;+
706601;;C;72155.00;+
445715;;C;7216.00;+
411100;0000531Z;D;1183856.00;+
706001;;C;27069.00;+
706001;;C;115701.00;+
706001;;C;843777.00;+
445710;;C;5414.00;+
445710;;C;23140.00;+
445710;;C;168755.00;+
411100;0041976F;D;2802880.00;+
706001;;C;263782.00;+
706001;;C;377018.00;+
706001;;C;1694933.00;+
445710;;C;52756.00;+
445710;;C;75404.00;+
445710;;C;338987.00;+
411100;0576756L;D;306634.00;+
706601;;C;63228.00;+
706601;;C;192300.00;+
445715;;C;51106.00;+
411100;0476115N;D;678955.00;+
706001;;C;10724.00;+
706001;;C;51893.00;+
706001;;C;55620.00;+
706001;;C;126444.00;+
706001;;C;321114.00;+
445710;;C;2145.00;+
445710;;C;10379.00;+
445710;;C;11124.00;+
445710;;C;25289.00;+
445710;;C;64223.00;+
411100;0476115N;D;295474.00;+
706001;;C;29547.00;+
706001;;C;216681.00;+
445710;;C;49246.00;+
411100;0020878X;D;782158.00;+
706001;;C;741382.00;+
445710;;C;40776.00;+
411100;0566541S;D;173154.00;+
706601;;C;164127.00;+
445715;;C;9027.00;+
411100;0075221A;D;72623.00;+
706001;;C;4344.00;+
706001;;C;13000.00;+
706001;;C;43175.00;+
445710;;C;869.00;+
445710;;C;2600.00;+
445710;;C;8635.00;+
411150;0090035S;D;20975.00;+
707000;;C;17479.00;+
445710;;C;3496.00;+
411150;0090035S;D;23734.00;+
707000;;C;19778.00;+
411150;0090035S;D;31885.00;+
707000;;C;26571.00;+
445710;;C;5314.00;+
411150;0467774N;D;137402.00;+
707000;;C;114501.00;+
