"Folio";"Numero Piece";"Date Piece";"Montant Fichier";"Montant Oracle";"Montant Interface";"Statut"
"GAZ";"0688K2607WXT9";"01/07/2026";"585,96";"585,96";"585,96";"INTEGREE"
"GAZ";"0688K2607WXS1";"01/07/2026";"455,85";"455,85";"455,85";"INTEGREE"
"GAZ";"0688K2607WXX0";"01/07/2026";"277,52";"277,52";"277,52";"INTEGREE"
"GAZ";"0688K2607WXX3";"01/07/2026";"144,09";"144,09";"144,09";"INTEGREE"
"GAZ";"0688K2607WWQ4";"01/07/2026";"97,2";"97,2";"97,2";"INTEGREE"
"GAZ";"0688K2607WXU8";"01/07/2026";"164,24";"164,24";"164,24";"INTEGREE"
"ING";"0414R26070549";"01/07/2026";"200386,8";"200386,8";"200386,8";"INTEGREE"
"ING";"0414R26070550";"01/07/2026";"179700,1";"179700,1";"179700,1";"INTEGREE"
"ING";"0001S2607VNN2";"01/07/2026";"59725,09";"59725,09";"59725,09";"INTEGREE"
"ING";"0261L26070029";"01/07/2026";"183273,95";"183273,95";"183273,95";"INTEGREE"
"GAZ";"0688K2607WWR6";"01/07/2026";"141,06";"141,06";"141,06";"INTEGREE"
"ING";"0414R26070561";"01/07/2026";"8530,06";"8530,06";"8530,06";"INTEGREE"
"GAZ";"0688K2607WXJ7";"01/07/2026";"41,78";"41,78";"41,78";"INTEGREE"
"GAZ";"0688K2607WXY2";"01/07/2026";"274,54";"274,54";"274,54";"INTEGREE"
"GAZ";"0688K2607WXL1";"01/07/2026";"398,26";"398,26";"398,26";"INTEGREE"
"GAZ";"0688K2607WXS7";"01/07/2026";"353,72";"353,72";"353,72";"INTEGREE"
"ING";"0414R26070562";"01/07/2026";"97066,47";"97066,47";"97066,47";"INTEGREE"
"ING";"0414R26070563";"01/07/2026";"82439,28";"82439,28";"82439,28";"INTEGREE"
"GAZ";"0688K2607WXJ8";"01/07/2026";"662,85";"662,85";"662,85";"INTEGREE"
"GAZ";"0688K2607WXF8";"01/07/2026";"667,61";"667,61";"667,61";"INTEGREE"
"GAZ";"0688K2607WWP2";"01/07/2026";"444,28";"444,28";"444,28";"INTEGREE"
"GAZ";"0688K2607WXH3";"01/07/2026";"301,33";"301,33";"301,33";"INTEGREE"
"GAZ";"0688K2607WXW1";"01/07/2026";"983,04";"983,04";"983,04";"INTEGREE"
