VHC03_SRC_FACTURESFOURNISSEURS_070826_154005.csv
N° ligne source;Erreur;Date arrêté comptable;Code société;Compte local;ID fournisseur externe; Code Tache;Code folio;Libellé;Quantité;Type;Montant;Devise;Date de pièce comptable;Numéro de pièce;Taux de TVA;Nature1;Nature2;Type de TVA;Date d'échéance;ID scan facture;Origine scan facture;Code region
0000000012;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001193F;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000013;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0585659X;VFF;Facture MASTERNAUT FR1181216 052025;2;STANDARD;22.46;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000014;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK1641478R;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000015;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0646050Y;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000016;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001279D;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000017;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001253Z;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000018;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001234C;VFF;Facture MASTERNAUT FR1181216 052025;2;STANDARD;22.46;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000019;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001204T;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000020;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0216823P;VFF;Facture MASTERNAUT FR1181216 052025;2;STANDARD;22.46;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000021;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0813639P;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000022;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0463459H;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
0000000023;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001240J;VFF;Facture MASTERNAUT FR1181216 052025;2;STANDARD;22.46;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000024;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001191D;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000025;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0813661P;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000026;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0216824R;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000027;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001102C;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000028;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001267P;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000029;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0006518G;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000030;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0009900A;VFF;Facture MASTERNAUT FR1181216 052025;2;STANDARD;22.46;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000031;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0008832L;VFF;Facture MASTERNAUT FR1181216 052025;3;STANDARD;33.69;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000032;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0009543V;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000033;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0009886J;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000034;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0231892N;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000035;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0008827F;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000036;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0009764W;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000037;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0009698W;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000003D
0000000038;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK1034014R;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000039;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0029046G;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000040;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0029079V;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000041;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001405X;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000042;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0346471S;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000043;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0029054R;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000044;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0045173H;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000005F
0000000045;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001492W;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000046;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001520C;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000047;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0217799Z;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000048;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0648575S;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000049;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK1241076N;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000050;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0066095H;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000051;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001538Y;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000052;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001519B;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000053;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0545475H;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000054;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001509P;VFF;Facture MASTERNAUT FR1181216 052025;1;STANDARD;11.23;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000055;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;445661;67955-FRA92150;;VFF;Facture MASTERNAUT FR1181216 052025;0;STANDARD;134.93;EUR;31/05/2025;FR1181216;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000056;CodeSociete:empty or null,CodeTache:empty or null;25/08/2026;;401100;67955-FRA92150;;VFF;Facture MASTERNAUT FR1153339 102024;0;STANDARD;1692.20;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000057;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001495Z;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000007H
0000000058;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0813632G;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000059;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0813649B;VFF;Facture MASTERNAUT FR1153339 102024;2;STANDARD;21.86;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000060;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001230Y;VFF;Facture MASTERNAUT FR1153339 102024;2;STANDARD;21.86;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000061;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001242L;VFF;Facture MASTERNAUT FR1153339 102024;2;STANDARD;21.86;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000062;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0813656J;VFF;Facture MASTERNAUT FR1153339 102024;2;STANDARD;21.86;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000063;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001262J;VFF;Facture MASTERNAUT FR1153339 102024;5;STANDARD;54.65;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000064;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001257D;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000065;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001279D;VFF;Facture MASTERNAUT FR1153339 102024;3;STANDARD;32.79;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000066;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001238G;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000067;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001193F;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000068;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0585659X;VFF;Facture MASTERNAUT FR1153339 102024;2;STANDARD;21.86;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000069;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK1641478R;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000070;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001253Z;VFF;Facture MASTERNAUT FR1153339 102024;3;STANDARD;32.79;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000071;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001263K;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000072;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0646050Y;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000073;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0816785P;VFF;Facture MASTERNAUT FR1153339 102024;2;STANDARD;21.86;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000074;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001228W;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000075;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001226T;VFF;Facture MASTERNAUT FR1153339 102024;2;STANDARD;21.86;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000076;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001273X;VFF;Facture MASTERNAUT FR1153339 102024;2;STANDARD;21.86;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000077;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001232A;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000078;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001234C;VFF;Facture MASTERNAUT FR1153339 102024;3;STANDARD;32.79;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000079;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001204T;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000080;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0216823P;VFF;Facture MASTERNAUT FR1153339 102024;2;STANDARD;21.86;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000081;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0813626A;VFF;Facture MASTERNAUT FR1153339 102024;3;STANDARD;32.79;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000082;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001240J;VFF;Facture MASTERNAUT FR1153339 102024;5;STANDARD;54.65;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000083;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK1182794J;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000084;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0813639P;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000085;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0463459H;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000001B
0000000086;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001236E;VFF;Facture MASTERNAUT FR1153339 102024;2;STANDARD;21.86;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000087;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001197K;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000088;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001217H;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000089;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001191D;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000090;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0340925P;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000091;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0216824R;VFF;Facture MASTERNAUT FR1153339 102024;2;STANDARD;21.86;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000092;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0813661P;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000093;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001202R;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000094;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001212C;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000095;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0216826T;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000096;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001267P;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000008J
0000000097;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0502570C;VFF;Facture MASTERNAUT FR1153339 102024;2;STANDARD;21.86;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000098;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001061F;VFF;Facture MASTERNAUT FR1153339 102024;2;STANDARD;21.86;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000099;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001059D;VFF;Facture MASTERNAUT FR1153339 102024;2;STANDARD;21.86;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000100;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0031440C;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000101;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001033Z;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000102;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001047P;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000103;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0211899V;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000104;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0008396R;VFF;Facture MASTERNAUT FR1153339 102024;2;STANDARD;21.86;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
0000000105;CodeSociete:empty or null;25/08/2026;;622840;67955-FRA92150;GK0001055Z;VFF;Facture MASTERNAUT FR1153339 102024;1;STANDARD;10.93;EUR;31/10/2024;FR1153339;20.00;FRAIS DE GESTION VEHICULES;;;;;;B00000002C
