GL Closing Date;Company Code;Compte local;ID fournisseur externe;Appro Task Code;Code Folio;Description;Quantity;Type;Montant;Currency Code;Document Date;Document Number;VAT %;Nature 1;Nature 2;VAT Type;Due Date;Invoice Scan ID;Invoice Scan Source;Region Code;Source file id;Application source
26/08/2026;0367;401100;75876-FRA44170-A;GN1583434G;HAF;STANDARD - F015893;0,00001;STANDARD;5323,05;EUR;31/07/2026;F015893;0,00;;;;;PRN-FVB0064192-BEMA-F015893.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;445660;75876-FRA44170-A;GN1583434G;HAF;STANDARD - F015893;48,96000;STANDARD;483,91;EUR;31/07/2026;F015893;10,00;;;DED_10.00D;;PRN-FVB0064192-BEMA-F015893.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;602210;75876-FRA44170-A;GN1583434G;HAF;STANDARD - F015893;48,96000;STANDARD;4839,14;EUR;31/07/2026;F015893;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064192-BEMA-F015893.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;401100;66816-FRA62380;GD1588348R;HAF;STANDARD - 07//18//26;0,00001;STANDARD;10283,61;EUR;31/07/2026;07//18//26;0,00;;;;;PRN-FVB0064193-ENERGIE-BOIS-07-18-26.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;445660;66816-FRA62380;GD1588348R;HAF;STANDARD - 07//18//26;109,50000;STANDARD;934,88;EUR;31/07/2026;07//18//26;10,00;;;DED_10.00D;;PRN-FVB0064193-ENERGIE-BOIS-07-18-26.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;602210;66816-FRA62380;GD1588348R;HAF;STANDARD - 07//18//26;109,50000;STANDARD;9348,73;EUR;31/07/2026;07//18//26;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064193-ENERGIE-BOIS-07-18-26.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;401100;66816-FRA62380;GN1583477F;HAF;STANDARD - 07//28//26;0,00001;STANDARD;26112,28;EUR;31/07/2026;07//28//26;0,00;;;;;PRN-FVB0064194-ENERGIE-BOIS-07-28-26.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;445660;66816-FRA62380;GN1583477F;HAF;STANDARD - 07//28//26;190,42000;STANDARD;2373,84;EUR;31/07/2026;07//28//26;10,00;;;DED_10.00D;;PRN-FVB0064194-ENERGIE-BOIS-07-28-26.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;602210;66816-FRA62380;GN1583477F;HAF;STANDARD - 07//28//26;190,42000;STANDARD;23738,44;EUR;31/07/2026;07//28//26;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064194-ENERGIE-BOIS-07-28-26.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;401100;66816-FRA62380;GN1583469X;HAF;STANDARD - 07//29//26;0,00001;STANDARD;32913,98;EUR;31/07/2026;07//29//26;0,00;;;;;PRN-FVB0064195-ENERGIE-BOIS-07-29-26.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;445660;66816-FRA62380;GN1583469X;HAF;STANDARD - 07//29//26;300,92000;STANDARD;2992,18;EUR;31/07/2026;07//29//26;10,00;;;DED_10.00D;;PRN-FVB0064195-ENERGIE-BOIS-07-29-26.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;602210;66816-FRA62380;GN1583469X;HAF;STANDARD - 07//29//26;300,92000;STANDARD;29921,80;EUR;31/07/2026;07//29//26;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064195-ENERGIE-BOIS-07-29-26.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;401100;66816-FRA62380;GD1588348R;HAF;STANDARD - 07//31//26;0,00001;STANDARD;19351,60;EUR;31/07/2026;07//31//26;0,00;;;;;PRN-FVB0064196-ENERGIE-BOIS-07-31-26.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;445660;66816-FRA62380;GD1588348R;HAF;STANDARD - 07//31//26;198,00000;STANDARD;1759,24;EUR;31/07/2026;07//31//26;10,00;;;DED_10.00D;;PRN-FVB0064196-ENERGIE-BOIS-07-31-26.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;602210;66816-FRA62380;GD1588348R;HAF;STANDARD - 07//31//26;198,00000;STANDARD;17592,36;EUR;31/07/2026;07//31//26;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064196-ENERGIE-BOIS-07-31-26.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;401100;107749-FRA02380;GD1588348R;HAF;STANDARD - FAC000431;0,00001;STANDARD;153368,05;EUR;31/07/2026;FAC000431;0,00;;;;;PRN-FVB0064197-GOUVEIA-FAC000431.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;445660;107749-FRA02380;GD1588348R;HAF;STANDARD - FAC000431;1537,92000;STANDARD;13942,55;EUR;31/07/2026;FAC000431;10,00;;;DED_10.00D;;PRN-FVB0064197-GOUVEIA-FAC000431.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;602210;107749-FRA02380;GD1588348R;HAF;STANDARD - FAC000431;1537,92000;STANDARD;139425,50;EUR;31/07/2026;FAC000431;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064197-GOUVEIA-FAC000431.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;401100;56666-FRA62710;GD1588348R;HAF;STANDARD - VT2607/058;0,00001;STANDARD;21031,62;EUR;31/07/2026;VT2607/058;0,00;;;;;PRN-FVB0064198-BNE-VT2607-058.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;445660;56666-FRA62710;GD1588348R;HAF;STANDARD - VT2607/058;208,76000;STANDARD;1911,95;EUR;31/07/2026;VT2607/058;10,00;;;DED_10.00D;;PRN-FVB0064198-BNE-VT2607-058.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;602210;56666-FRA62710;GD1588348R;HAF;STANDARD - VT2607/058;208,76000;STANDARD;19119,67;EUR;31/07/2026;VT2607/058;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064198-BNE-VT2607-058.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;401100;56666-FRA62710;GN1583781B;HAF;STANDARD - VT2607/069;0,00001;STANDARD;4128,37;EUR;31/07/2026;VT2607/069;0,00;;;;;PRN-FVB0064199-BNE-VT2607-069.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;445660;56666-FRA62710;GN1583781B;HAF;STANDARD - VT2607/069;36,16000;STANDARD;375,31;EUR;31/07/2026;VT2607/069;10,00;;;DED_10.00D;;PRN-FVB0064199-BNE-VT2607-069.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
26/08/2026;0367;602210;56666-FRA62710;GN1583781B;HAF;STANDARD - VT2607/069;36,16000;STANDARD;3753,06;EUR;31/07/2026;VT2607/069;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064199-BNE-VT2607-069.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356;PIRENE
