Folio	Type	Date	Nom fichier transmis
GAZ	FOURNISSEURS	18/08/2026	FAC02_SRC_FACTURESFOURNISSEURS_180826-004902_ST_FAC02_639226109427442508_001
GCA	CLIENTS	22/08/2026	FAC02_SRC_FACTURESCLIENTS_220826-004610_ST_FAC02_639229563703609185_001
GCA	CLIENTS	18/08/2026	FAC02_SRC_FACTURESCLIENTS_180826-004821_ST_FAC02_639226109017635143_001
GCA	CLIENTS	07/08/2026	FAC02_SRC_FACTURESCLIENTS_070826-015219_ST_FAC02_639216643394100902_001
GCA	CLIENTS	04/08/2026	FAC02_SRC_FACTURESCLIENTS_040826-015647_ST_FAC02_639214054073299009_001
GER	GL	22/08/2026	FAC02_SRC_ECRITURESGL_220826-004732
GER	GL	21/08/2026	FAC02_SRC_ECRITURESGL_210826-010814
GER	GL	13/08/2026	FAC02_SRC_ECRITURESGL_130826-010025
GER	GL	04/07/2026	FAC02_SRC_ECRITURESGL_040726-011149
HAC	FOURNISSEURS	22/08/2026	FAC02_SRC_FACTURESFOURNISSEURS_220826-004641_ST_FAC02_639229564015706762_001
HAF	FOURNISSEURS	21/08/2026	PRN01_SRC_FACTURESFOURNISSEURS_20260821_210234
HAF	FOURNISSEURS	21/08/2026	PRN01_SRC_FACTURESFOURNISSEURS_20260821_205556
HAF	FOURNISSEURS	11/08/2026	PRN01_SRC_FACTURESFOURNISSEURS_20260807_205356
IGP	CLIENTS	22/08/2026	FAC02_SRC_FACTURESCLIENTS_220826-004610_ST_FAC02_639229563703609185_001
IGP	CLIENTS	03/08/2026	FAC02_SRC_FACTURESCLIENTS_010826-005747_ST_FAC02_639211426673639666_001
ING	FOURNISSEURS	18/08/2026	FAC02_SRC_FACTURESFOURNISSEURS_180826-004902_ST_FAC02_639226109427442508_001
ING	FOURNISSEURS	03/07/2026	FAC02_SRC_FACTURESFOURNISSEURS_020726-060434_ST_FAC02_639185690741033341_001
NOT	FOURNISSEURS	23/08/2026	NOT01_SRC_FACTURESFOURNISSEURS_20260823231550
NOT	FOURNISSEURS	22/08/2026	NOT01_SRC_FACTURESFOURNISSEURS_20260822231605
NOT	FOURNISSEURS	21/08/2026	NOT01_SRC_FACTURESFOURNISSEURS_20260821233810
NOT	FOURNISSEURS	20/08/2026	NOT01_SRC_FACTURESFOURNISSEURS_20260820001153
SVB	CLIENTS	22/08/2026	FAC02_SRC_FACTURESCLIENTS_220826-004610_ST_FAC02_639229563703609185_001
SVD	CLIENTS	22/08/2026	FAC02_SRC_FACTURESCLIENTS_220826-004610_ST_FAC02_639229563703609185_001
THO	GL	28/07/2026	VCH01_SRC_ECRITURESGL_270726-160000
VFF	FOURNISSEURS	19/08/2026	VHC03_SRC_FACTURESFOURNISSEURS_100826_114541
VFF	FOURNISSEURS	17/08/2026	VHC03_SRC_FACTURESFOURNISSEURS_170826_161552
VFF	FOURNISSEURS	14/08/2026	VHC03_SRC_FACTURESFOURNISSEURS_070826_085535
VFF	FOURNISSEURS	10/08/2026	VHC03_SRC_FACTURESFOURNISSEURS_070826_144348
VFF	FOURNISSEURS	07/08/2026	VHC03_SRC_FACTURESFOURNISSEURS_070826_114606
VFF	FOURNISSEURS	07/08/2026	VHC03_SRC_FACTURESFOURNISSEURS_070826_152413
VFF	FOURNISSEURS	07/08/2026	VHC03_SRC_FACTURESFOURNISSEURS_070826_155537
VTC	CLIENTS	22/08/2026	FAC02_SRC_FACTURESCLIENTS_220826-004610_ST_FAC02_639229563703609185_001
