Date Comptable;Code Societe Achat;Compte Comptable Achat;ID founisseur externe;Code tâche;Code folio;Libellé;Quantité;Type;Montant;Devise;Date de la pièce;Numéro de pièce;Taux de Tva;TypeEvenementAchat;Numero2;Type de Tva;Date d'échéance;Id scan facture;  Origine scan facture;
26/08/2026;0001;602210;0688;GL0017826G;GAZ;VENTE DE GAZ;0,00001;STANDARD;0,42;EUR;18/08/2026;0688K2608AXFD;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017826G;GAZ;VENTE DE GAZ;0,09900;STANDARD;1,62;EUR;18/08/2026;0688K2608AXFD;20,00;TICGN GAZ;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017826G;GAZ;VENTE DE GAZ;0,09900;STANDARD;4,61;EUR;18/08/2026;0688K2608AXFD;20,00;DEBOURS P1 GAZ;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017826G;GAZ;VENTE DE GAZ;0,09900;STANDARD;4,71;EUR;18/08/2026;0688K2608AXFD;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;18/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0017826G;GAZ;VENTE DE GAZ;0,00001;STANDARD;6,74;EUR;18/08/2026;0688K2608AXFD;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000008J
26/08/2026;0001;445660;0688;GL0017826G;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;3,63;EUR;18/08/2026;0688K2608AXFD;20,00;;;;18/08/2026;;;B00000008J
26/08/2026;0001;401050;0688;GL0020676W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;211,46;EUR;18/08/2026;0688K2608AXAW;;;;;18/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;0,00001;STANDARD;59,23;EUR;18/08/2026;0688K2608AXAW;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;0,00001;STANDARD;116,99;EUR;18/08/2026;0688K2608AXAW;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000006G
26/08/2026;0001;445660;0688;GL0020676W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;35,24;EUR;18/08/2026;0688K2608AXAW;20,00;;;;18/08/2026;;;B00000006G
26/08/2026;0001;401050;0688;GL0020676W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;268,02;EUR;18/08/2026;0688K2608AXAX;;;;;18/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;0,16100;STANDARD;0,07;EUR;18/08/2026;0688K2608AXAX;20,00;GAZ - MECANISME CPB;;;18/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;0,16100;STANDARD;2,06;EUR;18/08/2026;0688K2608AXAX;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;18/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;0,16100;STANDARD;2,64;EUR;18/08/2026;0688K2608AXAX;20,00;TICGN GAZ;;;18/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;0,16100;STANDARD;7,94;EUR;18/08/2026;0688K2608AXAX;20,00;DEBOURS P1 GAZ;;;18/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;0,00001;STANDARD;70,18;EUR;18/08/2026;0688K2608AXAX;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;0,00001;STANDARD;140,46;EUR;18/08/2026;0688K2608AXAX;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000006G
26/08/2026;0001;445660;0688;GL0020676W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;44,67;EUR;18/08/2026;0688K2608AXAX;20,00;;;;18/08/2026;;;B00000006G
26/08/2026;0001;401050;0688;GL0020676W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;225,75;EUR;18/08/2026;0688K2608AXAA;;;;;18/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;1,26100;STANDARD;0,52;EUR;18/08/2026;0688K2608AXAA;20,00;GAZ - MECANISME CPB;;;18/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;1,26100;STANDARD;16,13;EUR;18/08/2026;0688K2608AXAA;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;18/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;1,26100;STANDARD;20,67;EUR;18/08/2026;0688K2608AXAA;20,00;TICGN GAZ;;;18/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;0,00001;STANDARD;24,04;EUR;18/08/2026;0688K2608AXAA;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;1,26100;STANDARD;62,19;EUR;18/08/2026;0688K2608AXAA;20,00;DEBOURS P1 GAZ;;;18/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;0,00001;STANDARD;64,58;EUR;18/08/2026;0688K2608AXAA;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000006G
26/08/2026;0001;445660;0688;GL0020676W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;37,62;EUR;18/08/2026;0688K2608AXAA;20,00;;;;18/08/2026;;;B00000006G
26/08/2026;0001;401050;0688;GL0028335Z;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;30,50;EUR;18/08/2026;0688K2608AXJR;;;;;18/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL0028335Z;GAZ;VENTE DE GAZ;0,00001;STANDARD;3,17;EUR;18/08/2026;0688K2608AXJR;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL0028335Z;GAZ;VENTE DE GAZ;0,00001;STANDARD;22,25;EUR;18/08/2026;0688K2608AXJR;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000003D
26/08/2026;0001;445660;0688;GL0028335Z;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;5,08;EUR;18/08/2026;0688K2608AXJR;20,00;;;;18/08/2026;;;B00000003D
26/08/2026;0001;401050;0688;GL0212283F;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;99,56;EUR;18/08/2026;0688K2608AXAY;;;;;18/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL0212283F;GAZ;VENTE DE GAZ;0,02800;STANDARD;0,01;EUR;18/08/2026;0688K2608AXAY;20,00;GAZ - MECANISME CPB;;;18/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL0212283F;GAZ;VENTE DE GAZ;0,02800;STANDARD;0,36;EUR;18/08/2026;0688K2608AXAY;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;18/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL0212283F;GAZ;VENTE DE GAZ;0,02800;STANDARD;0,46;EUR;18/08/2026;0688K2608AXAY;20,00;TICGN GAZ;;;18/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL0212283F;GAZ;VENTE DE GAZ;0,02800;STANDARD;1,38;EUR;18/08/2026;0688K2608AXAY;20,00;DEBOURS P1 GAZ;;;18/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL0212283F;GAZ;VENTE DE GAZ;0,00001;STANDARD;19,48;EUR;18/08/2026;0688K2608AXAY;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL0212283F;GAZ;VENTE DE GAZ;0,00001;STANDARD;61,28;EUR;18/08/2026;0688K2608AXAY;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000004E
26/08/2026;0001;445660;0688;GL0212283F;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;16,59;EUR;18/08/2026;0688K2608AXAY;20,00;;;;18/08/2026;;;B00000004E
26/08/2026;0001;401050;0688;GL0052362C;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;239,28;EUR;18/08/2026;0688K2608AXET;;;;;18/08/2026;;;B00000007H
26/08/2026;0001;602210;0688;GL0052362C;GAZ;VENTE DE GAZ;1,75600;STANDARD;0,72;EUR;18/08/2026;0688K2608AXET;20,00;GAZ - MECANISME CPB;;;18/08/2026;;;B00000007H
26/08/2026;0001;602210;0688;GL0052362C;GAZ;VENTE DE GAZ;0,00001;STANDARD;18,72;EUR;18/08/2026;0688K2608AXET;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000007H
26/08/2026;0001;602210;0688;GL0052362C;GAZ;VENTE DE GAZ;1,75600;STANDARD;22,46;EUR;18/08/2026;0688K2608AXET;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;18/08/2026;;;B00000007H
26/08/2026;0001;602210;0688;GL0052362C;GAZ;VENTE DE GAZ;1,75600;STANDARD;28,78;EUR;18/08/2026;0688K2608AXET;20,00;TICGN GAZ;;;18/08/2026;;;B00000007H
26/08/2026;0001;602210;0688;GL0052362C;GAZ;VENTE DE GAZ;0,00001;STANDARD;43,56;EUR;18/08/2026;0688K2608AXET;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000007H
26/08/2026;0001;602210;0688;GL0052362C;GAZ;VENTE DE GAZ;1,75600;STANDARD;85,16;EUR;18/08/2026;0688K2608AXET;20,00;DEBOURS P1 GAZ;;;18/08/2026;;;B00000007H
26/08/2026;0001;445660;0688;GL0052362C;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;39,88;EUR;18/08/2026;0688K2608AXET;20,00;;;;18/08/2026;;;B00000007H
26/08/2026;0001;401050;0688;GL0059014L;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;53,30;EUR;18/08/2026;0688K2608AWYB;;;;;18/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0059014L;GAZ;VENTE DE GAZ;0,00001;STANDARD;12,76;EUR;18/08/2026;0688K2608AWYB;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0059014L;GAZ;VENTE DE GAZ;0,00001;STANDARD;31,66;EUR;18/08/2026;0688K2608AWYB;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000006G
26/08/2026;0001;445660;0688;GL0059014L;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;8,88;EUR;18/08/2026;0688K2608AWYB;20,00;;;;18/08/2026;;;B00000006G
26/08/2026;0001;401050;0688;GL1443295H;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;81,96;EUR;18/08/2026;0688K2608AXJY;;;;;18/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL1443295H;GAZ;VENTE DE GAZ;0,00001;STANDARD;21,83;EUR;18/08/2026;0688K2608AXJY;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL1443295H;GAZ;VENTE DE GAZ;0,00001;STANDARD;46,47;EUR;18/08/2026;0688K2608AXJY;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000003D
26/08/2026;0001;445660;0688;GL1443295H;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;13,66;EUR;18/08/2026;0688K2608AXJY;20,00;;;;18/08/2026;;;B00000003D
26/08/2026;0001;401050;0688;GL0020676W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;30,02;EUR;18/08/2026;0688K2608AXAC;;;;;18/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;0,00001;STANDARD;1,84;EUR;18/08/2026;0688K2608AXAC;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;0,00001;STANDARD;23,18;EUR;18/08/2026;0688K2608AXAC;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000006G
26/08/2026;0001;445660;0688;GL0020676W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;5;EUR;18/08/2026;0688K2608AXAC;20,00;;;;18/08/2026;;;B00000006G
26/08/2026;0001;401050;0688;GL0039590N;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;298,61;EUR;18/08/2026;0688K2608AXGX;;;;;18/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL0039590N;GAZ;VENTE DE GAZ;0,00001;STANDARD;101,42;EUR;18/08/2026;0688K2608AXGX;20,00;DEBOURS P1 GAZ STOCKAGE;;;18/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL0039590N;GAZ;VENTE DE GAZ;0,00001;STANDARD;147,42;EUR;18/08/2026;0688K2608AXGX;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;18/08/2026;;;B00000003D
