GL Closing Date;Company Code;Compte local;ID fournisseur externe;Appro Task Code;Code Folio;Description;Quantity;Type;Montant;Currency Code;Document Date;Document Number;VAT %;Nature 1;Nature 2;VAT Type;Due Date;Invoice Scan ID;Invoice Scan Source;Region Code;Source file id;Application source
26/08/2026;0367;624100;108949-FRA17490;GL0212152G;HAF;STANDARD - 1125F141;2,00000;STANDARD;312,50;EUR;30/11/2025;1125F141;20,00;UC TRANSPORT BIOMASSE;;;;PRN-FVB0064263-MARTIN-BOIS-1125F141.pdf;PRN;B00000005F;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;2640-FRA01390;GN1583259H;HAF;STANDARD - FAC00004074;0,00001;STANDARD;738,36;EUR;30/07/2026;FAC00004074;0,00;;;;;PRN-FVB0064264-facture-FAC00004074.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;2640-FRA01390;GN1583269V;HAF;STANDARD - FAC00004074;1,00000;STANDARD;0,90;EUR;30/07/2026;FAC00004074;20,00;;;DED_20.00E;;PRN-FVB0064264-facture-FAC00004074.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;2640-FRA01390;GN1583259H;HAF;STANDARD - FAC00004074;0,72000;STANDARD;122,16;EUR;30/07/2026;FAC00004074;20,00;;;DED_20.00E;;PRN-FVB0064264-facture-FAC00004074.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;2640-FRA01390;GN1583269V;HAF;STANDARD - FAC00004074;1,00000;STANDARD;4,50;EUR;30/07/2026;FAC00004074;20,00;COUTS CENDRES;;;;PRN-FVB0064264-facture-FAC00004074.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;2640-FRA01390;GN1583259H;HAF;STANDARD - FAC00004074;0,72000;STANDARD;610,80;EUR;30/07/2026;FAC00004074;20,00;COUTS CENDRES;;;;PRN-FVB0064264-facture-FAC00004074.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;S00055292-FRA59270;GN1584002C;HAF;STANDARD - FS26/0856;0,00001;STANDARD;13850,17;EUR;06/08/2026;FS26/0856;0,00;;;;;PRN-FVB0064265-SYLVANORD-FS26-0856.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445660;S00055292-FRA59270;GN1584002C;HAF;STANDARD - FS26/0856;126,80000;STANDARD;1259,11;EUR;06/08/2026;FS26/0856;10,00;;;DED_10.00D;;PRN-FVB0064265-SYLVANORD-FS26-0856.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;602210;S00055292-FRA59270;GN1584002C;HAF;STANDARD - FS26/0856;126,80000;STANDARD;12591,06;EUR;06/08/2026;FS26/0856;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064265-SYLVANORD-FS26-0856.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;50641-FRA62003;GN1583652E;HAF;STANDARD - 260600177;0,00001;STANDARD;8329,58;EUR;02/06/2026;260600177;0,00;;;;;PRN-FVB0064266-SEDE-260600177.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;50641-FRA62003;GN1583652E;HAF;STANDARD - 260600177;246,18000;STANDARD;1388,26;EUR;02/06/2026;260600177;20,00;;;DED_20.00E;;PRN-FVB0064266-SEDE-260600177.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;50641-FRA62003;GN1583652E;HAF;STANDARD - 260600177;246,18000;STANDARD;6941,32;EUR;02/06/2026;260600177;20,00;COUTS CENDRES;;;;PRN-FVB0064266-SEDE-260600177.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;S00055292-FRA59270;GN1583424W;HAF;STANDARD - FS26/0859;0,00001;STANDARD;2570,11;EUR;06/08/2026;FS26/0859;0,00;;;;;PRN-FVB0064267-SYLVANORD-FS26-0859.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445660;S00055292-FRA59270;GN1583424W;HAF;STANDARD - FS26/0859;26,04000;STANDARD;233,65;EUR;06/08/2026;FS26/0859;10,00;;;DED_10.00D;;PRN-FVB0064267-SYLVANORD-FS26-0859.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;602210;S00055292-FRA59270;GN1583424W;HAF;STANDARD - FS26/0859;26,04000;STANDARD;2336,46;EUR;06/08/2026;FS26/0859;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064267-SYLVANORD-FS26-0859.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;401100;2640-FRA01390;GN1583888Y;HAF;STANDARD - FAC00004085;0,00001;STANDARD;744,84;EUR;31/07/2026;FAC00004085;0,00;;;;;PRN-FVB0064268-facture-FAC00004085.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;445661;2640-FRA01390;GN1583888Y;HAF;STANDARD - FAC00004085;1,90000;STANDARD;124,14;EUR;31/07/2026;FAC00004085;20,00;;;DED_20.00E;;PRN-FVB0064268-facture-FAC00004085.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
26/08/2026;0367;611600;2640-FRA01390;GN1583888Y;HAF;STANDARD - FAC00004085;1,90000;STANDARD;620,70;EUR;31/07/2026;FAC00004085;20,00;COUTS CENDRES;;;;PRN-FVB0064268-facture-FAC00004085.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260811_205421;PIRENE
