Date d'arrêté comptable;Code société;Compte local;Identifiant founisseur externe;Code tâche;Code folio amont;Libellé;Quantité;Type;Montant;Devise;Date de la pièce;Numéro de pièce;Taux TVA;Nature1;Nature2;Type de TVA;Date d'échéance;Id scan facture;Origine scan facture;UO Dalkia
25/08/2026;0001;401100;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-014122 062026;0;STANDARD;1289,66;EUR;19/06/2026;FC26-014122;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;15880-FRA38321;GK0001290R;VFF;Facture sd services FC26-014122 062026;1;STANDARD;1074,72;EUR;19/06/2026;FC26-014122;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;445661;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-014122 062026;0;STANDARD;214,94;EUR;19/06/2026;FC26-014122;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-015320 062026;0;STANDARD;179,40;EUR;30/06/2026;FC26-015320;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;15880-FRA38321;GK1163953Z;VFF;Facture sd services FC26-015320 062026;1;STANDARD;149,50;EUR;30/06/2026;FC26-015320;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;445661;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-015320 062026;0;STANDARD;29,90;EUR;30/06/2026;FC26-015320;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-015255 062026;0;STANDARD;1096,16;EUR;29/06/2026;FC26-015255;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;15880-FRA38321;GK0001196J;VFF;Facture sd services FC26-015255 062026;1;STANDARD;913,47;EUR;29/06/2026;FC26-015255;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;445661;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-015255 062026;0;STANDARD;182,69;EUR;29/06/2026;FC26-015255;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-015131 062026;0;STANDARD;670,19;EUR;29/06/2026;FC26-015131;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;15880-FRA38321;GK1034014R;VFF;Facture sd services FC26-015131 062026;1;STANDARD;558,49;EUR;29/06/2026;FC26-015131;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;445661;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-015131 062026;0;STANDARD;111,70;EUR;29/06/2026;FC26-015131;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-014806 062026;0;STANDARD;1289,66;EUR;24/06/2026;FC26-014806;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;15880-FRA38321;GK0001290R;VFF;Facture sd services FC26-014806 062026;1;STANDARD;1074,72;EUR;24/06/2026;FC26-014806;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;445661;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-014806 062026;0;STANDARD;214,94;EUR;24/06/2026;FC26-014806;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;401100;15880-FRA38321;GK0028795X;VFF;Facture sd services FC26-014867 062026;0;STANDARD;430,14;EUR;25/06/2026;FC26-014867;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
25/08/2026;0001;615510;15880-FRA38321;GK0029069H;VFF;Facture sd services FC26-014867 062026;1;STANDARD;358,45;EUR;25/06/2026;FC26-014867;20,00;ENTRETIEN  ET AMENAG.DIVERS;;;;;;B00000001B
