guid;categorie;fichier;statut;detail
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0475DSWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395959040.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0476DEWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0476DEWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0476DEWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395969041.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0478DCWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0478DCWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0478DCWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395979042.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0480DEWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0480DEWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0480DEWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890395989043.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0490DEWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0490DEWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0490DEWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890396009044.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0514DNAEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0514DNAEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0514DNAEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890396019045.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0523DSWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0523DSWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0523DSWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890396029046.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0542DSWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0542DSWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0542DSWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890396839047.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0551DRWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0551DRWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0551DRWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890396859048.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0576DRWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0576DRWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0576DRWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890396869049.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0658DOSEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0658DOSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0658DOSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890396879050.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0683DSWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0683DSWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0683DSWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890396889051.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0804DOSEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0804DOSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0804DOSEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890396899052.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
3693b409347c4c89967976e0924428e1;DK;DK_30003-0930DEWEXP-20260918-49069237_20260918-014541.txt;OK;attendu via Oracle
3693b409347c4c89967976e0924428e1;DK_FIN01_source;DK_FIN01_30003-0930DEWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;DK_FIN01_cible;DK_FIN01_30003-0930DEWEXP-20260918-49069237_20260918-014541.txt;OK;
3693b409347c4c89967976e0924428e1;ACK;CDPG.NC4.IMPORT_ACK.DLK_VIR_17896890396909053.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;OK;
