guid;fichier_source;nb_dk;nb_dk_fin01;nb_oracle_source;montant_dk_entete;montant_dk;montant_dk_fin01;montant_oracle_source;euro_lines;statut_lignes;statut_montant
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0475DSWEXP-20260918-49069237_20260918-014541.txt;2;2;2;130800;130800;130800;130800;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0476DEWEXP-20260918-49069237_20260918-014541.txt;1;1;1;1216415;1216415;1216415;1216415;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0478DCWEXP-20260918-49069237_20260918-014541.txt;1;1;1;22637;22637;22637;22637;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0480DEWEXP-20260918-49069237_20260918-014541.txt;1;1;1;18090;18090;18090;18090;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0490DEWEXP-20260918-49069237_20260918-014541.txt;1;1;1;374764;374764;374764;374764;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0514DNAEXP-20260918-49069237_20260918-014541.txt;1;1;1;166219;166219;166219;166219;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0523DSWEXP-20260918-49069237_20260918-014541.txt;1;1;1;99720;99720;99720;99720;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0542DSWEXP-20260918-49069237_20260918-014541.txt;1;1;1;21596;21596;21596;21596;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0551DRWEXP-20260918-49069237_20260918-014541.txt;1;1;1;9685;9685;9685;9685;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0576DRWEXP-20260918-49069237_20260918-014541.txt;1;1;1;980000;980000;980000;980000;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0658DOSEXP-20260918-49069237_20260918-014541.txt;3;3;3;176160;176160;176160;176160;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0683DSWEXP-20260918-49069237_20260918-014541.txt;1;1;1;36000;36000;36000;36000;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0804DOSEXP-20260918-49069237_20260918-014541.txt;5;5;5;12385801;12385801;12385801;12385801;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30003-0930DEWEXP-20260918-49069237_20260918-014541.txt;2;2;2;1298862;1298862;1298862;1298862;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30004-0028DRWEXP-20260918-49069237_20260918-014541.txt;1;1;1;2163600;2163600;2163600;2163600;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30004-0119DOSEXP-20260918-49069237_20260918-014541.txt;6;6;6;4090794;4090794;4090794;4090794;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30004-0131DCWEXP-20260918-49069237_20260918-014541.txt;1;1;1;22620000;22620000;22620000;22620000;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30004-0166DCWEXP-20260918-49069237_20260918-014541.txt;1;1;1;44400;44400;44400;44400;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30004-0363DMSEXP-20260918-49069237_20260918-014541.txt;1;1;1;126900;126900;126900;126900;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30004-0383DMSEXP-20260918-49069237_20260918-014541.txt;1;1;1;4745800;4745800;4745800;4745800;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30004-0388DCWEXP-20260918-49069237_20260918-014541.txt;1;1;1;120240;120240;120240;120240;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30004-0420DEWEXP-20260918-49069237_20260918-014541.txt;1;1;1;10066;10066;10066;10066;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30004-0420DNAEXP-20260918-49069237_20260918-014541.txt;1;1;1;595800;595800;595800;595800;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30004-0502DMSEXP-20260918-49069237_20260918-014541.txt;1;1;1;248000;248000;248000;248000;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30004-0507DEWEXP-20260918-49069237_20260918-014541.txt;1;1;1;888516;888516;888516;888516;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30004-0512DLSEXP-20260918-49069237_20260918-014541.txt;1;1;1;1681399;1681399;1681399;1681399;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30004-0600DSWEXP-20260918-49069237_20260918-014541.txt;1;1;1;121068;121068;121068;121068;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30004-0631DRWEXP-20260918-49069237_20260918-014541.txt;1;1;1;4950;4950;4950;4950;1;OK;OK
3693b409347c4c89967976e0924428e1;DK_FIN01_30004-0800DEWEXP-20260918-49069237_20260918-014541.txt;2;2;2;67829;67829;67829;67829;1;OK;OK
ddb2be96ebd049bbbaac099e37456324;DK_FIN01_30003-0034DLSGPX-20260918-49069699_20260918-030523.txt;1;1;1;50496;50496;50496;50496;1;OK;OK
ddb2be96ebd049bbbaac099e37456324;DK_FIN01_30003-0820DNAGPX-20260918-49069699_20260918-030523.txt;1;1;1;14200;14200;14200;14200;1;OK;OK
ddb2be96ebd049bbbaac099e37456324;DK_FIN01_30004-0001DEWGPX-20260918-49069699_20260918-030523.txt;1;1;1;114348;114348;114348;114348;1;OK;OK
ddb2be96ebd049bbbaac099e37456324;DK_FIN01_30004-0001DLSGPX-20260918-49069699_20260918-030523.txt;1;1;1;327506;327506;327506;327506;1;OK;OK
ddb2be96ebd049bbbaac099e37456324;DK_FIN01_30004-0001DMSGPX-20260918-49069699_20260918-030523.txt;3;3;3;4737204;4737204;4737204;4737204;1;OK;OK
ddb2be96ebd049bbbaac099e37456324;DK_FIN01_30004-0001DNAGPX-20260918-49069699_20260918-030523.txt;1;1;1;627720;627720;627720;627720;1;OK;OK
ddb2be96ebd049bbbaac099e37456324;DK_FIN01_30004-0001DOSGPX-20260918-49069699_20260918-030523.txt;1;1;1;530500;530500;530500;530500;1;OK;OK
ddb2be96ebd049bbbaac099e37456324;DK_FIN01_30004-0001DRWGPX-20260918-49069699_20260918-030523.txt;1;1;1;663600;663600;663600;663600;1;OK;OK
ddb2be96ebd049bbbaac099e37456324;DK_FIN01_30004-0119DOSGPX-20260918-49069699_20260918-030523.txt;1;1;1;150000;150000;150000;150000;1;OK;OK
ddb2be96ebd049bbbaac099e37456324;DK_FIN01_30004-0356DMSGPX-20260918-49069699_20260918-030523.txt;1;1;1;58824;58824;58824;58824;1;OK;OK
